/opt/anaconda3/envs/fal-wyh/lib/python3.9/site-packages/torchvision/transforms/transforms.py:329: UserWarning: Argument 'interpolation' of type int is deprecated since 0.13 and will be removed in 0.15. Please use InterpolationMode enum.
  warnings.warn(
09/17/2026 06:49:30 - INFO - models.modeling - load_pretrained: resized variant: torch.Size([1, 197, 768]) to torch.Size([1, 785, 768])
09/17/2026 06:49:33 - INFO - timm.models._builder - Loading pretrained weights from Hugging Face hub (timm/vit_base_patch16_dinov3.lvd1689m)
09/17/2026 07:48:27 - INFO - __main__ - Training (6100 / 10000 Steps) (loss=0.1772) lr=1.08e-02 3532s
09/17/2026 07:48:52 - INFO - __main__ - Training (6200 / 10000 Steps) (loss=0.3455) lr=1.04e-02 3557s
09/17/2026 07:49:16 - INFO - __main__ - Training (6300 / 10000 Steps) (loss=0.1152) lr=9.90e-03 3582s
09/17/2026 07:49:41 - INFO - __main__ - Training (6400 / 10000 Steps) (loss=0.2631) lr=9.43e-03 3607s
09/17/2026 07:50:06 - INFO - __main__ - Training (6500 / 10000 Steps) (loss=0.1627) lr=8.97e-03 3631s
09/17/2026 07:50:31 - INFO - __main__ - Training (6600 / 10000 Steps) (loss=0.3181) lr=8.52e-03 3656s
09/17/2026 07:50:56 - INFO - __main__ - Training (6700 / 10000 Steps) (loss=0.2217) lr=8.08e-03 3681s
09/17/2026 07:51:21 - INFO - __main__ - Training (6800 / 10000 Steps) (loss=0.2280) lr=7.64e-03 3706s
09/17/2026 07:51:46 - INFO - __main__ - Training (6900 / 10000 Steps) (loss=0.2013) lr=7.22e-03 3731s
09/17/2026 07:52:10 - INFO - __main__ - Training (7000 / 10000 Steps) (loss=0.1325) lr=6.80e-03 3756s
09/17/2026 07:57:45 - INFO - __main__ - Validation Results step 7000: Accuracy 0.85856 (best 0.85856)
09/17/2026 07:58:10 - INFO - __main__ - Training (7100 / 10000 Steps) (loss=0.2760) lr=6.39e-03 4115s
09/17/2026 07:58:35 - INFO - __main__ - Training (7200 / 10000 Steps) (loss=0.1810) lr=5.98e-03 4140s
09/17/2026 07:59:00 - INFO - __main__ - Training (7300 / 10000 Steps) (loss=0.5273) lr=5.59e-03 4165s
09/17/2026 07:59:24 - INFO - __main__ - Training (7400 / 10000 Steps) (loss=0.4402) lr=5.21e-03 4190s
09/17/2026 07:59:50 - INFO - __main__ - Training (7500 / 10000 Steps) (loss=0.1495) lr=4.84e-03 4215s
09/17/2026 08:00:14 - INFO - __main__ - Training (7600 / 10000 Steps) (loss=0.1331) lr=4.48e-03 4240s
09/17/2026 08:00:39 - INFO - __main__ - Training (7700 / 10000 Steps) (loss=0.1242) lr=4.13e-03 4265s
09/17/2026 08:01:04 - INFO - __main__ - Training (7800 / 10000 Steps) (loss=0.1188) lr=3.80e-03 4289s
09/17/2026 08:01:29 - INFO - __main__ - Training (7900 / 10000 Steps) (loss=0.3834) lr=3.47e-03 4314s
09/17/2026 08:01:54 - INFO - __main__ - Training (8000 / 10000 Steps) (loss=0.4781) lr=3.16e-03 4339s
09/17/2026 08:07:28 - INFO - __main__ - Validation Results step 8000: Accuracy 0.87143 (best 0.87143)
09/17/2026 08:07:53 - INFO - __main__ - Training (8100 / 10000 Steps) (loss=0.2096) lr=2.86e-03 4699s
09/17/2026 08:08:18 - INFO - __main__ - Training (8200 / 10000 Steps) (loss=0.4478) lr=2.58e-03 4723s
09/17/2026 08:08:43 - INFO - __main__ - Training (8300 / 10000 Steps) (loss=0.0994) lr=2.31e-03 4748s
09/17/2026 08:09:08 - INFO - __main__ - Training (8400 / 10000 Steps) (loss=0.2292) lr=2.05e-03 4773s
09/17/2026 08:09:33 - INFO - __main__ - Training (8500 / 10000 Steps) (loss=0.2356) lr=1.81e-03 4798s
09/17/2026 08:09:58 - INFO - __main__ - Training (8600 / 10000 Steps) (loss=0.1370) lr=1.58e-03 4823s
09/17/2026 08:10:23 - INFO - __main__ - Training (8700 / 10000 Steps) (loss=0.2835) lr=1.36e-03 4848s
09/17/2026 08:10:48 - INFO - __main__ - Training (8800 / 10000 Steps) (loss=0.2206) lr=1.17e-03 4873s
09/17/2026 08:11:12 - INFO - __main__ - Training (8900 / 10000 Steps) (loss=0.0734) lr=9.82e-04 4898s
09/17/2026 08:11:38 - INFO - __main__ - Training (9000 / 10000 Steps) (loss=0.0432) lr=8.13e-04 4923s
09/17/2026 08:17:12 - INFO - __main__ - Validation Results step 9000: Accuracy 0.87509 (best 0.87509)
09/17/2026 08:17:37 - INFO - __main__ - Training (9100 / 10000 Steps) (loss=0.2342) lr=6.59e-04 5282s
09/17/2026 08:18:02 - INFO - __main__ - Training (9200 / 10000 Steps) (loss=0.0949) lr=5.22e-04 5307s
09/17/2026 08:18:27 - INFO - __main__ - Training (9300 / 10000 Steps) (loss=0.1756) lr=4.00e-04 5332s
09/17/2026 08:18:52 - INFO - __main__ - Training (9400 / 10000 Steps) (loss=0.1755) lr=2.94e-04 5357s
09/17/2026 08:19:17 - INFO - __main__ - Training (9500 / 10000 Steps) (loss=0.2425) lr=2.05e-04 5382s
09/17/2026 08:19:41 - INFO - __main__ - Training (9600 / 10000 Steps) (loss=0.4532) lr=1.31e-04 5407s
09/17/2026 08:20:06 - INFO - __main__ - Training (9700 / 10000 Steps) (loss=0.1504) lr=7.38e-05 5432s
09/17/2026 08:20:31 - INFO - __main__ - Training (9800 / 10000 Steps) (loss=0.0552) lr=3.28e-05 5456s
09/17/2026 08:20:56 - INFO - __main__ - Training (9900 / 10000 Steps) (loss=0.0815) lr=8.20e-06 5481s
09/17/2026 08:21:21 - INFO - __main__ - Training (10000 / 10000 Steps) (loss=0.1658) lr=0.00e+00 5506s
09/17/2026 08:26:55 - INFO - __main__ - Validation Results step 10000: Accuracy 0.87634 (best 0.87634)
09/17/2026 08:26:55 - INFO - __main__ - Best Accuracy: 	0.876345
09/17/2026 08:26:55 - INFO - __main__ - End Training!
